2023-06-30 20:26:12,335: root: INFO: TrendFollowingStrategy : Executing the initialize lifecycle method
2023-06-30 20:26:13,165: alpaca_trade_api.stream: INFO: connected to: wss://paper-api.alpaca.markets/stream/
2023-06-30 20:28:56,818: root: INFO: Getting historical prices for AI, 5 bars, day
2023-06-30 20:28:57,103: root: INFO: Getting historical prices for AI, 430 bars, day
2023-06-30 20:28:57,402: root: INFO: Getting historical prices for GOOGL, 430 bars, day
2023-06-30 20:28:57,701: root: INFO: Getting historical prices for IBM, 430 bars, day
2023-06-30 20:28:58,001: root: INFO: Getting historical prices for META, 5 bars, day
2023-06-30 20:28:58,287: root: INFO: Getting historical prices for META, 430 bars, day
2023-06-30 20:28:58,590: root: INFO: Getting historical prices for BAC, 430 bars, day
2023-06-30 20:28:58,890: root: INFO: Getting historical prices for BABA, 430 bars, day
2023-06-30 20:28:59,187: root: INFO: Getting historical prices for GOOG, 430 bars, day
2023-06-30 20:28:59,489: root: INFO: Getting historical prices for SONY, 5 bars, day
2023-06-30 20:28:59,775: root: INFO: Getting historical prices for SONY, 430 bars, day
2023-06-30 20:29:00,076: root: INFO: Getting historical prices for ASML, 5 bars, day
2023-06-30 20:29:00,360: root: INFO: Getting historical prices for ASML, 430 bars, day
2023-06-30 20:29:00,667: root: INFO: Getting historical prices for SAP, 5 bars, day
2023-06-30 20:29:00,956: root: INFO: Getting historical prices for SAP, 430 bars, day
2023-06-30 20:29:01,254: root: INFO: Getting historical prices for TSM, 5 bars, day
2023-06-30 20:29:01,548: root: INFO: Getting historical prices for TSM, 430 bars, day
2023-06-30 20:29:01,851: root: INFO: Getting historical prices for MU, 5 bars, day
2023-06-30 20:29:02,135: root: INFO: Getting historical prices for MU, 430 bars, day
2023-06-30 20:29:02,438: root: INFO: Getting historical prices for VMW, 5 bars, day
2023-06-30 20:29:02,738: root: INFO: Getting historical prices for VMW, 430 bars, day
2023-06-30 20:29:03,045: root: INFO: Getting historical prices for DELL, 5 bars, day
2023-06-30 20:29:03,338: root: INFO: Getting historical prices for DELL, 430 bars, day
2023-06-30 20:29:03,660: root: INFO: Getting historical prices for HPQ, 5 bars, day
2023-06-30 20:29:03,946: root: INFO: Getting historical prices for HPQ, 430 bars, day
2023-06-30 20:29:04,259: root: INFO: Getting historical prices for NET, 430 bars, day
2023-06-30 20:29:04,982: root: INFO: Getting historical prices for STX, 430 bars, day
2023-06-30 20:29:05,120: root: INFO: market order of | 0 NET buy | with status error did not go through. The following error occured: qty must be > 0
2023-06-30 20:29:05,288: root: INFO: Getting historical prices for JNPR, 430 bars, day
2023-06-30 20:29:05,585: root: INFO: Getting historical prices for LOGI, 5 bars, day
2023-06-30 20:29:05,871: root: INFO: Getting historical prices for LOGI, 430 bars, day
2023-06-30 20:29:06,166: root: INFO: Getting historical prices for SONO, 430 bars, day
2023-06-30 20:29:06,465: root: INFO: Getting historical prices for CRSR, 5 bars, day
2023-06-30 20:29:06,765: root: INFO: Getting historical prices for CRSR, 430 bars, day
2023-06-30 20:29:07,064: root: INFO: Getting historical prices for NTGR, 430 bars, day
2023-06-30 20:29:07,522: root: INFO: TrendFollowingStrategy : Sleeping for 60 seconds
